 *********************************************************************
             E=     -362.1751084 theoretical n=        1.8577861
 *********************************************************************
              r   wave func(r)     derivative
    0.1000000E-07   -0.0000000E+00   -0.8768993E-10
    0.1283314E-01    0.2710867E+01    0.2658141E+02
    0.2566627E-01    0.4095467E+01    0.8475259E+02
    0.3849940E-01    0.5064225E+01    0.6026339E+02
    0.5133254E-01    0.5613998E+01    0.2544156E+02
    0.6416567E-01    0.5740722E+01   -0.4380722E+01
    0.7699880E-01    0.5538923E+01   -0.2559127E+02
    0.8983193E-01    0.5119515E+01   -0.3850415E+02
    0.1026651E+00    0.4579235E+01   -0.4473989E+02
    0.1154982E+00    0.3991842E+01   -0.4614668E+02
    0.1283313E+00    0.3408436E+01   -0.4436649E+02
    0.1411645E+00    0.2861197E+01   -0.4069709E+02
    0.1539976E+00    0.2367925E+01   -0.3608769E+02
    0.1668307E+00    0.1936224E+01   -0.3118835E+02
    0.1796638E+00    0.1566930E+01   -0.2641447E+02
    0.1924970E+00    0.1256723E+01   -0.2200834E+02
    0.2053301E+00    0.1000000E+01   -0.1807491E+02
    0.2181632E+00    0.7903551E+00   -0.1468663E+02
    0.2309964E+00    0.6208297E+00   -0.1181765E+02
    0.2438295E+00    0.4849864E+00   -0.9429270E+01
    0.2566626E+00    0.3769889E+00   -0.7468424E+01
    0.2694958E+00    0.2917209E+00   -0.5877184E+01
    0.2823289E+00    0.2248081E+00   -0.4598591E+01
    0.2951620E+00    0.1725821E+00   -0.3579968E+01
    0.3079952E+00    0.1320135E+00   -0.2774535E+01
    0.3208283E+00    0.1006324E+00   -0.2141945E+01
    0.3336614E+00    0.7644553E-01   -0.1648169E+01
    0.3464946E+00    0.5785842E-01   -0.1265008E+01
    0.3593277E+00    0.4360440E-01   -0.9694446E+00
    0.3721608E+00    0.3268276E-01   -0.7429359E+00
    0.3849940E+00    0.2430574E-01   -0.5707299E+00
    0.3978271E+00    0.1785395E-01   -0.4412480E+00
    0.4106602E+00    0.1283912E-01   -0.3455490E+00
