 *********************************************************************
             E=    -0.500 theoretical n=     1.000
 *********************************************************************
              r   wave func(r)
      0.100E-07      0.000E+00      0.557E-01
      0.125E-01      0.691E-03      0.545E-01
      0.250E-01      0.136E-02      0.532E-01
      0.375E-01      0.202E-02      0.518E-01
      0.501E-01      0.266E-02      0.505E-01
      0.626E-01      0.329E-02      0.492E-01
      0.751E-01      0.389E-02      0.480E-01
      0.876E-01      0.449E-02      0.467E-01
      0.100E+00      0.506E-02      0.455E-01
      0.113E+00      0.563E-02      0.443E-01
      0.125E+00      0.617E-02      0.432E-01
      0.138E+00      0.671E-02      0.420E-01
      0.150E+00      0.722E-02      0.409E-01
      0.163E+00      0.773E-02      0.398E-01
      0.175E+00      0.822E-02      0.387E-01
      0.188E+00      0.870E-02      0.376E-01
      0.200E+00      0.916E-02      0.366E-01
      0.213E+00      0.961E-02      0.356E-01
      0.225E+00      0.101E-01      0.346E-01
      0.238E+00      0.105E-01      0.336E-01
      0.250E+00      0.109E-01      0.326E-01
      0.263E+00      0.113E-01      0.317E-01
      0.275E+00      0.117E-01      0.308E-01
      0.288E+00      0.121E-01      0.299E-01
      0.300E+00      0.124E-01      0.290E-01
      0.313E+00      0.128E-01      0.281E-01
      0.325E+00      0.131E-01      0.272E-01
      0.338E+00      0.135E-01      0.264E-01
      0.350E+00      0.138E-01      0.256E-01
      0.363E+00      0.141E-01      0.248E-01
      0.375E+00      0.144E-01      0.240E-01
      0.388E+00      0.147E-01      0.232E-01
      0.400E+00      0.150E-01      0.225E-01
      0.413E+00      0.153E-01      0.217E-01
      0.425E+00      0.155E-01      0.210E-01
      0.438E+00      0.158E-01      0.203E-01
      0.451E+00      0.161E-01      0.196E-01
      0.463E+00      0.163E-01      0.189E-01
      0.476E+00      0.165E-01      0.182E-01
      0.488E+00      0.167E-01      0.176E-01
      0.501E+00      0.170E-01      0.169E-01
      0.513E+00      0.172E-01      0.163E-01
      0.526E+00      0.174E-01      0.157E-01
      0.538E+00      0.176E-01      0.151E-01
      0.551E+00      0.177E-01      0.145E-01
      0.563E+00      0.179E-01      0.139E-01
      0.576E+00      0.181E-01      0.133E-01
      0.588E+00      0.183E-01      0.128E-01
      0.601E+00      0.184E-01      0.122E-01
      0.613E+00      0.186E-01      0.117E-01
      0.626E+00      0.187E-01      0.112E-01
      0.638E+00      0.188E-01      0.107E-01
      0.651E+00      0.190E-01      0.102E-01
      0.663E+00      0.191E-01      0.970E-02
      0.676E+00      0.192E-01      0.922E-02
      0.688E+00      0.193E-01      0.876E-02
      0.701E+00      0.194E-01      0.830E-02
      0.713E+00      0.195E-01      0.785E-02
      0.726E+00      0.196E-01      0.742E-02
      0.738E+00      0.197E-01      0.699E-02
      0.751E+00      0.198E-01      0.657E-02
      0.763E+00      0.199E-01      0.617E-02
      0.776E+00      0.200E-01      0.577E-02
      0.788E+00      0.200E-01      0.538E-02
      0.801E+00      0.201E-01      0.500E-02
      0.813E+00      0.202E-01      0.462E-02
      0.826E+00      0.202E-01      0.426E-02
      0.838E+00      0.203E-01      0.391E-02
      0.851E+00      0.203E-01      0.356E-02
      0.863E+00      0.204E-01      0.322E-02
      0.876E+00      0.204E-01      0.289E-02
      0.888E+00      0.204E-01      0.256E-02
      0.901E+00      0.205E-01      0.225E-02
      0.914E+00      0.205E-01      0.194E-02
      0.926E+00      0.205E-01      0.164E-02
      0.939E+00      0.205E-01      0.134E-02
      0.951E+00      0.205E-01      0.106E-02
      0.964E+00      0.206E-01      0.777E-03
      0.976E+00      0.206E-01      0.503E-03
      0.989E+00      0.206E-01      0.237E-03
      0.100E+01      0.206E-01     -0.231E-04
      0.101E+01      0.206E-01     -0.277E-03
      0.103E+01      0.206E-01     -0.524E-03
      0.104E+01      0.206E-01     -0.765E-03
      0.105E+01      0.205E-01     -0.100E-02
      0.106E+01      0.205E-01     -0.123E-02
      0.108E+01      0.205E-01     -0.145E-02
      0.109E+01      0.205E-01     -0.167E-02
      0.110E+01      0.205E-01     -0.188E-02
      0.111E+01      0.204E-01     -0.209E-02
      0.113E+01      0.204E-01     -0.229E-02
      0.114E+01      0.204E-01     -0.248E-02
      0.115E+01      0.204E-01     -0.267E-02
      0.116E+01      0.203E-01     -0.286E-02
      0.118E+01      0.203E-01     -0.304E-02
      0.119E+01      0.202E-01     -0.322E-02
      0.120E+01      0.202E-01     -0.339E-02
      0.121E+01      0.202E-01     -0.355E-02
      0.123E+01      0.201E-01     -0.371E-02
      0.124E+01      0.201E-01     -0.387E-02
      0.125E+01      0.200E-01     -0.402E-02
      0.126E+01      0.200E-01     -0.417E-02
      0.128E+01      0.199E-01     -0.431E-02
      0.129E+01      0.199E-01     -0.445E-02
      0.130E+01      0.198E-01     -0.459E-02
      0.131E+01      0.197E-01     -0.472E-02
      0.133E+01      0.197E-01     -0.484E-02
      0.134E+01      0.196E-01     -0.497E-02
      0.135E+01      0.196E-01     -0.509E-02
      0.136E+01      0.195E-01     -0.520E-02
      0.138E+01      0.194E-01     -0.531E-02
      0.139E+01      0.194E-01     -0.542E-02
      0.140E+01      0.193E-01     -0.553E-02
      0.141E+01      0.192E-01     -0.563E-02
      0.143E+01      0.191E-01     -0.573E-02
      0.144E+01      0.191E-01     -0.582E-02
      0.145E+01      0.190E-01     -0.591E-02
      0.146E+01      0.189E-01     -0.600E-02
      0.148E+01      0.189E-01     -0.609E-02
      0.149E+01      0.188E-01     -0.617E-02
      0.150E+01      0.187E-01     -0.625E-02
      0.151E+01      0.186E-01     -0.632E-02
      0.153E+01      0.185E-01     -0.640E-02
      0.154E+01      0.185E-01     -0.647E-02
      0.155E+01      0.184E-01     -0.654E-02
      0.156E+01      0.183E-01     -0.660E-02
      0.158E+01      0.182E-01     -0.666E-02
      0.159E+01      0.181E-01     -0.672E-02
      0.160E+01      0.180E-01     -0.678E-02
      0.161E+01      0.180E-01     -0.683E-02
      0.163E+01      0.179E-01     -0.689E-02
      0.164E+01      0.178E-01     -0.694E-02
      0.165E+01      0.177E-01     -0.699E-02
      0.166E+01      0.176E-01     -0.703E-02
      0.168E+01      0.175E-01     -0.707E-02
      0.169E+01      0.174E-01     -0.712E-02
      0.170E+01      0.173E-01     -0.715E-02
      0.171E+01      0.173E-01     -0.719E-02
      0.173E+01      0.172E-01     -0.723E-02
      0.174E+01      0.171E-01     -0.726E-02
      0.175E+01      0.170E-01     -0.729E-02
      0.176E+01      0.169E-01     -0.732E-02
      0.178E+01      0.168E-01     -0.735E-02
      0.179E+01      0.167E-01     -0.737E-02
      0.180E+01      0.166E-01     -0.740E-02
      0.181E+01      0.165E-01     -0.742E-02
      0.183E+01      0.164E-01     -0.744E-02
      0.184E+01      0.163E-01     -0.746E-02
      0.185E+01      0.162E-01     -0.747E-02
      0.186E+01      0.162E-01     -0.749E-02
      0.188E+01      0.161E-01     -0.750E-02
      0.189E+01      0.160E-01     -0.752E-02
      0.190E+01      0.159E-01     -0.753E-02
      0.191E+01      0.158E-01     -0.754E-02
      0.193E+01      0.157E-01     -0.754E-02
      0.194E+01      0.156E-01     -0.755E-02
      0.195E+01      0.155E-01     -0.756E-02
      0.196E+01      0.154E-01     -0.756E-02
      0.198E+01      0.153E-01     -0.756E-02
      0.199E+01      0.152E-01     -0.757E-02
      0.200E+01      0.151E-01     -0.757E-02
      0.201E+01      0.150E-01     -0.756E-02
      0.203E+01      0.149E-01     -0.756E-02
      0.204E+01      0.148E-01     -0.756E-02
      0.205E+01      0.147E-01     -0.756E-02
      0.206E+01      0.146E-01     -0.755E-02
      0.208E+01      0.145E-01     -0.754E-02
      0.209E+01      0.145E-01     -0.754E-02
      0.210E+01      0.144E-01     -0.753E-02
      0.211E+01      0.143E-01     -0.752E-02
      0.213E+01      0.142E-01     -0.751E-02
      0.214E+01      0.141E-01     -0.750E-02
      0.215E+01      0.140E-01     -0.749E-02
      0.216E+01      0.139E-01     -0.747E-02
      0.218E+01      0.138E-01     -0.746E-02
      0.219E+01      0.137E-01     -0.745E-02
      0.220E+01      0.136E-01     -0.743E-02
      0.221E+01      0.135E-01     -0.741E-02
      0.223E+01      0.134E-01     -0.740E-02
      0.224E+01      0.133E-01     -0.738E-02
      0.225E+01      0.132E-01     -0.736E-02
      0.227E+01      0.131E-01     -0.734E-02
      0.228E+01      0.131E-01     -0.732E-02
      0.229E+01      0.130E-01     -0.730E-02
      0.230E+01      0.129E-01     -0.728E-02
      0.232E+01      0.128E-01     -0.726E-02
      0.233E+01      0.127E-01     -0.724E-02
      0.234E+01      0.126E-01     -0.722E-02
      0.235E+01      0.125E-01     -0.719E-02
      0.237E+01      0.124E-01     -0.717E-02
      0.238E+01      0.123E-01     -0.714E-02
      0.239E+01      0.122E-01     -0.712E-02
      0.240E+01      0.122E-01     -0.709E-02
      0.242E+01      0.121E-01     -0.707E-02
      0.243E+01      0.120E-01     -0.704E-02
      0.244E+01      0.119E-01     -0.702E-02
      0.245E+01      0.118E-01     -0.699E-02
      0.247E+01      0.117E-01     -0.696E-02
      0.248E+01      0.116E-01     -0.693E-02
      0.249E+01      0.115E-01     -0.691E-02
      0.250E+01      0.115E-01     -0.688E-02
      0.252E+01      0.114E-01     -0.685E-02
      0.253E+01      0.113E-01     -0.682E-02
      0.254E+01      0.112E-01     -0.679E-02
      0.255E+01      0.111E-01     -0.676E-02
      0.257E+01      0.110E-01     -0.673E-02
      0.258E+01      0.109E-01     -0.670E-02
      0.259E+01      0.109E-01     -0.667E-02
      0.260E+01      0.108E-01     -0.664E-02
      0.262E+01      0.107E-01     -0.660E-02
      0.263E+01      0.106E-01     -0.657E-02
      0.264E+01      0.105E-01     -0.654E-02
      0.265E+01      0.104E-01     -0.651E-02
      0.267E+01      0.104E-01     -0.648E-02
      0.268E+01      0.103E-01     -0.644E-02
      0.269E+01      0.102E-01     -0.641E-02
      0.270E+01      0.101E-01     -0.638E-02
      0.272E+01      0.100E-01     -0.635E-02
      0.273E+01      0.997E-02     -0.631E-02
      0.274E+01      0.989E-02     -0.628E-02
      0.275E+01      0.981E-02     -0.625E-02
      0.277E+01      0.973E-02     -0.621E-02
      0.278E+01      0.965E-02     -0.618E-02
      0.279E+01      0.958E-02     -0.614E-02
      0.280E+01      0.950E-02     -0.611E-02
      0.282E+01      0.942E-02     -0.608E-02
      0.283E+01      0.935E-02     -0.604E-02
      0.284E+01      0.927E-02     -0.601E-02
      0.285E+01      0.920E-02     -0.597E-02
      0.287E+01      0.912E-02     -0.594E-02
      0.288E+01      0.905E-02     -0.590E-02
